MeasureItem,Month,Year,Category,Area,MeasureItemID,CreationDate,Representativity,ProvidedValue,ProvidedValueCode
Monthly Domestic Values,1,2024,Biomass,BE,B01,2024-12-06 14:45:58,100,53.75838,
Monthly Domestic Values,2,2024,Biomass,BE,B01,2024-12-06 14:45:58,100,55.19081,
Monthly Domestic Values,3,2024,Biomass,BE,B01,2024-12-06 14:45:58,100,78.07484,
Monthly Domestic Values,4,2024,Biomass,BE,B01,2024-12-06 14:45:58,100,62.89129,
Monthly Domestic Values,5,2024,Biomass,BE,B01,2024-12-06 14:45:58,100,56.87296,
Monthly Domestic Values,6,2024,Biomass,BE,B01,2024-12-06 14:45:58,100,54.77845,
Monthly Domestic Values,7,2024,Biomass,BE,B01,2024-12-06 14:45:58,100,58.31892,
Monthly Domestic Values,8,2024,Biomass,BE,B01,2024-12-06 14:45:58,100,56.67235,
Monthly Domestic Values,9,2024,Biomass,BE,B01,2024-12-06 14:45:58,100,73.8327,
Monthly Domestic Values,1,2024,Consumption of Hydro Pumped Storage,BE,(B10),2024-12-06 14:53:24,100,130.64536,
Monthly Domestic Values,2,2024,Consumption of Hydro Pumped Storage,BE,(B10),2024-12-06 14:53:24,100,102.72825,
Monthly Domestic Values,3,2024,Consumption of Hydro Pumped Storage,BE,(B10),2024-12-06 14:53:24,100,148.91528,
Monthly Domestic Values,4,2024,Consumption of Hydro Pumped Storage,BE,(B10),2024-12-06 14:53:24,100,169.03933,
Monthly Domestic Values,5,2024,Consumption of Hydro Pumped Storage,BE,(B10),2024-12-06 14:53:24,100,110.02911,
Monthly Domestic Values,6,2024,Consumption of Hydro Pumped Storage,BE,(B10),2024-12-06 14:53:24,100,86.18323,
Monthly Domestic Values,7,2024,Consumption of Hydro Pumped Storage,BE,(B10),2024-12-06 14:53:24,100,112.84451,
Monthly Domestic Values,8,2024,Consumption of Hydro Pumped Storage,BE,(B10),2024-12-06 14:53:24,100,123.3374,
Monthly Domestic Values,9,2024,Consumption of Hydro Pumped Storage,BE,(B10),2024-12-06 14:53:24,100,114.23717,
Monthly Domestic Values,1,2024,Consumption of Wind Offshore,BE,(B18),2024-12-06 14:53:24,100,0.41167,
Monthly Domestic Values,2,2024,Consumption of Wind Offshore,BE,(B18),2024-12-06 14:53:24,100,0.25448,
Monthly Domestic Values,3,2024,Consumption of Wind Offshore,BE,(B18),2024-12-06 14:53:24,100,2.41349,
Monthly Domestic Values,4,2024,Consumption of Wind Offshore,BE,(B18),2024-12-06 14:53:24,100,0.87955,
Monthly Domestic Values,5,2024,Consumption of Wind Offshore,BE,(B18),2024-12-06 14:53:24,100,3.68031,
Monthly Domestic Values,6,2024,Consumption of Wind Offshore,BE,(B18),2024-12-06 14:53:24,100,2.57834,
Monthly Domestic Values,7,2024,Consumption of Wind Offshore,BE,(B18),2024-12-06 14:53:24,100,2.7503,
Monthly Domestic Values,8,2024,Consumption of Wind Offshore,BE,(B18),2024-12-06 14:53:24,100,3.86965,
Monthly Domestic Values,9,2024,Consumption of Wind Offshore,BE,(B18),2024-12-06 14:53:24,100,0.81496,
Monthly Domestic Values,1,2024,Fossil Gas,BE,B04,2024-12-06 14:45:58,100,1471.4813,
Monthly Domestic Values,2,2024,Fossil Gas,BE,B04,2024-12-06 14:45:58,100,878.72916,
Monthly Domestic Values,3,2024,Fossil Gas,BE,B04,2024-12-06 14:45:58,100,1022.07238,
